"Country4","Hemisphere","Prevalence","Country_cfr","Country_prev","Region","Latitude","Population","Cases_31MR","Deaths_31MR","Cases_30JN","Deaths_30JN","Cases_30S","Deaths_30S","GDP_PC","EDR","Density","vitd","Jan","Feb","Mar","Apr","May","June","July","Aug","Sept"
"Afghanistan","N",8112,"Afghanistan (2.4)","Afghanistan (8112)","South Asia",33.93911,"3883896",175,4,31507,752,39268,1460,"509.22",75.3,"56.94",12.48,177.2,178.6,204.5,232.5,310.3,353.4,356.8,339.7,303.9
"Albania","N",881,"Albania (2.4)","Albania (881)","Europe & Central Asia",41.1533,"2878078",243,15,2535,62,13649,387,"4124.06",25.3,"104.61",NA,124,125,165,191,263,298,354,327,264
"Algeria","N",318,"Algeria (6.6)","Algeria (318)","Middle East & North Africa",28.0339,"43772270",716,44,13907,912,51530,1736,"3945.48",49.3,"17.73",24.2,223.3,220.25,262.2,292.5,323.8,312,353.25,325.35,262.5
"Andorra","N",11067,"Andorra (6.1)","Andorra (11067)","Europe & Central Asia",42.5063,"77254",376,12,855,52,2050,53,"37474.67",NA,"163.84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","S",9,"Angola (4.6)","Angola (9)","Sub-Saharan Africa",-11.2027,"32757041",7,2,284,13,4972,183,"3506.07",90.2,"24.71",NA,219,208,213,199,233,223,175,150,145
"Antigua and Barb.","N",705,"Antigua and Barb. (4.3)","Antigua and Barb. (705)","Latin America & Caribbean",17.0608,"97853",7,0,69,3,101,3,"15197.62",31.8,"218.83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","S",1429,"Argentina (2)","Argentina (1429)","Latin America & Caribbean",-38.4161,"45156510",1054,27,64530,1307,751001,16937,"12790.24",38.1,"16.26",44.7,238.25,207.0666667,185.05,170.6166667,151.4666667,123.3833333,138.6166667,170.4,174.6
"Armenia","N",8621,"Armenia (1.7)","Armenia (8621)","Europe & Central Asia",40.0691,"2962740",532,3,25542,443,50359,959,"3591.83",30.9,"103.68",NA,93,108,162,177,242,297,343,332,278
"Australia","S",311,"Australia (1.3)","Australia (311)","East Asia & Pacific",-32.106275,"25471489",4559,18,7920,104,27096,888,"49971.13",29.9,"3.25",62.9,274.7666667,239.3666667,243.6333333,224,203.3222222,181.7333333,203.1444444,231.0888889,236.8222222
"Austria","N",1974,"Austria (4)","Austria (1974)","Europe & Central Asia",47.5162,"9001628",10180,128,17766,705,44813,799,"45276.83",21.7,"107.13",NA,66,106,128,183,239,228,260,251,168
"Azerbaijan","N",1730,"Azerbaijan (1.2)","Azerbaijan (1730)","Europe & Central Asia",40.1431,"10130533",298,5,17524,213,40229,591,"3880.74",33.7,"120.23",NA,89.9,89,124,195,257.3,294,313.1,282.1,222
"Bahamas","N",265,"Bahamas (10.6)","Bahamas (265)","Latin America & Caribbean",25.025885,"392887",14,0,104,11,4123,96,"31562.64",30.6,"38.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain","N",15785,"Bahrain (0.3)","Bahrain (15785)","Middle East & North Africa",26.0275,"1695130",567,4,26758,87,70864,251,"22608.48",23.1,"2017.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh","N",884,"Bangladesh (1.3)","Bangladesh (884)","South Asia",23.685,"164533357",51,5,145483,1847,363479,5251,"1401.62",39.3,"1239.58",30.2,279,226,217,180,155,90,62,62,90
"Barbados","N",338,"Barbados (7.2)","Barbados (338)","Latin America & Caribbean",13.1939,"287343",34,0,97,7,190,7,"16900.17",25.2,"666.61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus","N",6574,"Belarus (0.6)","Belarus (6574)","Europe & Central Asia",53.7098,"9449602",152,1,62118,392,78631,833,"5022.63",25.7,"46.72",64.4,34,72,133,185,270,267,271,251,154
"Belgium","N",5302,"Belgium (15.9)","Belgium (5302)","Europe & Central Asia",50.8333,"11584977",12775,705,61427,9747,118452,10016,"41984.1",26.7,"377.38",49.3,59,77,114,159,191,188,201,190,143
"Benin","N",99,"Benin (1.8)","Benin (99)","Sub-Saharan Africa",9.3077,"12090168",9,0,1199,21,2357,41,"1087.29",76.6,"101.85",NA,251.3,236.8666667,245.2,234.6666667,241.9,195.3333333,164.2,149.3666667,169
"Bhutan","N",100,"Bhutan (0)","Bhutan (100)","South Asia",27.5142,"770795",4,0,77,0,282,0,"2930.56",36.1,"19.78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolivia","S",2850,"Bolivia (3.4)","Bolivia (2850)","Latin America & Caribbean",-16.2902,"11657564",107,6,33219,1123,135311,7965,"3076.66",48.5,"10.48",NA,182.9,152.6,148.8,165,222.7,240,235.6,217,189
"Bosnia and Herz.","N",1357,"Bosnia and Herz. (4.2)","Bosnia and Herz. (1357)","Europe & Central Asia",43.9159,"3282587",420,13,4453,186,27469,856,"4994.68",21.5,"64.92",NA,57,84,126,152,192,207,256,238,187
"Brazil","S",6600,"Brazil (4.3)","Brazil (6600)","Latin America & Caribbean",-14.235,"212418030",5717,201,1402041,59594,4810935,143952,"8710.1",29.7,"25.06",81.3,184,163.8571429,168.1857143,163.8714286,183.5857143,185.7714286,204.2142857,209.2285714,180.5714286
"Brunei","N",323,"Brunei (2.1)","Brunei (323)","East Asia & Pacific",4.5353,"437082",129,1,141,3,146,3,"27157.82",31,"81.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","N",718,"Bulgaria (4.6)","Bulgaria (718)","Europe & Central Asia",42.7339,"6952943",399,8,4989,230,20833,825,"7548.86",23,"64.71",NA,88,114,160,182,230,258,302,288,220
"Burkina Faso","N",46,"Burkina Faso (5.5)","Burkina Faso (46)","Sub-Saharan Africa",12.2383,"20843247",261,14,962,53,2056,58,"688.25",83.4,"72.19",NA,289,265,272,262,280.5,268,249,238,239
"Cape Verde","N",2209,"Cape Verde (1.2)","Cape Verde (2209)","Sub-Saharan Africa",16.5388,"555410",6,1,1227,15,6024,60,"3130.96",41.8,"134.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cambodia","N",8,"Cambodia (0)","Cambodia (8)","East Asia & Pacific",11.55,"16696479",109,0,141,0,277,0,"1269.59",48.2,"92.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon","N",476,"Cameroon (2.5)","Cameroon (476)","Sub-Saharan Africa",3.848,"26477611",193,6,12592,313,20838,418,"1364.33",76.2,"53.34",52.7,230.6,215.575,203.625,191.975,194.775,152.275,115.5,111,129.875
